loan_amnt,int_rate,annual_inc,dti,fico_range_low,revol_util,target
12000.0,6.89,30000.0,23.24,695.0,29.3,0
6000.0,13.35,53000.0,28.31,680.0,45.1,1
10000.0,12.12,40000.0,24.21,685.0,58.2,1
12000.0,13.56,37500.0,36.9,745.0,22.9,0
5000.0,6.08,38400.0,1.31,765.0,21.9,0
7500.0,5.32,83000.0,20.07,700.0,11.2,0
35000.0,13.18,200000.0,9.43,680.0,71.1,0
20000.0,11.99,54000.0,31.27,760.0,13.7,0
6000.0,11.44,58600.0,27.61,660.0,84.7,0
10000.0,12.29,80000.0,22.26,665.0,86.5,0
23500.0,15.88,72800.0,9.89,680.0,89.4,0
10000.0,14.64,56676.0,28.14,660.0,63.5,0
6000.0,12.99,56000.0,30.29,670.0,75.2,0
15000.0,17.99,70000.0,14.08,665.0,25.0,1
15000.0,9.75,75000.0,27.39,680.0,56.0,1
35950.0,12.99,150000.0,26.03,735.0,32.1,0
28000.0,12.35,115799.0,13.8,695.0,78.7,0
10000.0,12.49,50000.0,28.92,670.0,37.7,0
4000.0,6.99,83000.0,23.05,705.0,46.3,0
25000.0,9.44,100000.0,17.44,660.0,33.0,0
20000.0,7.9,65032.0,19.54,735.0,63.7,0
19000.0,10.37,130000.0,12.95,750.0,32.6,0
10000.0,15.61,67000.0,13.99,685.0,66.9,0
16000.0,14.99,65000.0,23.19,660.0,45.7,0
17600.0,14.98,50000.0,26.67,745.0,17.3,0
10000.0,13.59,70000.0,15.07,665.0,49.1,0
25000.0,13.99,115000.0,26.05,665.0,42.8,0
20000.0,15.49,80000.0,21.39,690.0,65.0,1
10000.0,12.49,180000.0,11.5,670.0,64.9,0
25000.0,18.06,42920.0,10.57,660.0,90.0,1
11200.0,15.59,71000.0,38.05,680.0,83.9,0
7000.0,10.16,104000.0,2.69,695.0,43.6,0
24000.0,8.39,130000.0,8.96,665.0,47.5,0
10000.0,20.0,29000.0,30.05,670.0,69.0,1
18000.0,19.52,60500.0,19.68,700.0,33.4,1
16000.0,8.39,50000.0,14.45,685.0,47.4,0
6000.0,7.62,36000.0,8.57,725.0,34.1,0
6400.0,10.49,20000.0,27.43,660.0,69.9,0
28000.0,20.49,108000.0,16.69,665.0,53.3,0
12000.0,13.99,47000.0,34.86,675.0,19.9,0
18225.0,18.99,60000.0,24.64,685.0,100.5,1
6000.0,17.99,136000.0,21.02,680.0,74.1,0
2950.0,18.55,52000.0,12.49,700.0,13.8,0
35000.0,20.2,71486.0,12.67,780.0,4.1,0
10000.0,12.12,95000.0,6.34,665.0,67.0,0
20000.0,7.89,75500.0,25.54,715.0,32.1,0
10000.0,6.39,96000.0,28.83,715.0,61.1,0
12000.0,13.99,81549.0,30.42,705.0,99.0,0
8400.0,13.18,50000.0,1.87,665.0,6.2,0
30000.0,18.54,102000.0,10.33,670.0,77.2,0
27575.0,23.83,70000.0,17.49,670.0,90.2,1
32325.0,9.75,75000.0,24.59,730.0,44.3,0
12000.0,12.99,60400.0,28.07,670.0,63.0,1
20000.0,12.99,135410.0,9.6,665.0,58.4,0
8400.0,10.99,51000.0,11.58,710.0,89.4,0
1475.0,20.2,35000.0,30.04,680.0,72.8,0
14000.0,10.42,68000.0,14.86,685.0,75.1,0
12500.0,6.24,50000.0,6.43,710.0,25.4,0
7475.0,20.49,21000.0,6.11,685.0,99.2,0
8875.0,10.64,32000.0,26.74,705.0,48.4,0
13000.0,8.18,78000.0,27.31,765.0,11.4,1
12000.0,14.65,59800.0,27.21,700.0,0.0,0
4500.0,17.99,73720.0,9.13,675.0,56.2,0
14925.0,18.92,68000.0,27.0,710.0,25.8,1
16000.0,14.99,73000.0,11.67,660.0,64.2,0
16000.0,11.99,55000.0,19.4,680.0,53.4,0
20000.0,5.32,175000.0,7.21,710.0,65.3,0
35000.0,7.26,175000.0,13.58,795.0,9.5,0
9000.0,11.44,35000.0,28.98,680.0,25.9,0
15000.0,15.61,62000.0,15.18,665.0,83.3,0
6600.0,8.18,75000.0,8.03,695.0,36.1,0
9850.0,14.46,37000.0,32.34,710.0,88.7,0
12000.0,16.02,65000.0,15.6,695.0,50.9,0
20000.0,5.93,90000.0,19.16,815.0,15.7,0
5000.0,14.46,30000.0,37.08,690.0,31.9,0
6000.0,13.33,80000.0,13.06,660.0,61.3,0
11000.0,16.99,78000.0,13.97,685.0,14.4,0
8500.0,6.03,105000.0,8.24,715.0,19.2,0
22000.0,6.89,74000.0,16.11,690.0,51.8,0
20000.0,6.97,85000.0,26.43,705.0,47.1,0
21000.0,8.19,104000.0,16.07,670.0,11.9,1
35000.0,14.65,120000.0,33.31,765.0,23.3,0
2100.0,9.43,95000.0,6.77,665.0,11.2,1
19000.0,13.99,73500.0,27.27,670.0,76.0,0
17000.0,9.16,45000.0,8.29,670.0,38.6,0
5500.0,15.1,34000.0,14.89,695.0,43.4,0
7500.0,17.97,120000.0,4.83,680.0,1.8,0
5500.0,13.67,41000.0,24.24,660.0,53.8,0
20000.0,11.53,60000.0,12.83,680.0,58.6,0
3600.0,10.99,34000.0,14.02,680.0,78.2,0
25000.0,14.07,73000.0,24.03,720.0,74.1,1
25000.0,8.39,200000.0,12.05,760.0,17.8,0
25000.0,15.31,105000.0,14.55,695.0,65.5,0
15000.0,16.29,43106.14,23.44,665.0,69.4,0
12050.0,20.2,38000.0,28.96,695.0,75.2,0
12600.0,14.64,110000.0,8.64,675.0,62.6,0
8000.0,7.51,105000.0,6.06,740.0,30.2,0
30000.0,11.67,230000.0,10.1,710.0,74.9,0
8000.0,7.99,50000.0,19.35,680.0,42.2,1
13025.0,22.99,34000.0,28.17,710.0,13.8,1
13900.0,22.15,47000.0,24.87,675.0,86.2,0
12000.0,9.17,50000.0,10.11,700.0,13.1,0
10000.0,13.67,40000.0,20.4,680.0,51.9,1
2400.0,11.99,24000.0,38.7,680.0,80.8,0
12500.0,12.69,131000.0,13.13,660.0,61.0,0
5000.0,21.85,40393.0,31.37,675.0,0.0,0
8000.0,14.46,40000.0,18.18,660.0,59.3,1
4800.0,7.14,77000.0,16.39,740.0,23.7,0
25000.0,17.57,102000.0,13.89,690.0,31.9,0
8000.0,15.59,24000.0,12.15,720.0,52.6,0
6925.0,18.99,96000.0,25.38,675.0,76.5,0
12000.0,21.85,35000.0,11.9,670.0,48.0,0
16000.0,6.49,90000.0,7.45,805.0,19.9,0
17000.0,5.32,84000.0,21.74,815.0,1.7,0
10000.0,11.44,95000.0,24.49,660.0,58.0,0
3000.0,14.09,45000.0,5.17,680.0,23.8,0
24000.0,11.99,74000.0,16.42,730.0,40.9,0
16450.0,17.1,50000.0,25.16,660.0,92.8,1
11000.0,15.99,75000.0,15.89,690.0,47.3,0
11000.0,9.93,50000.0,23.91,740.0,50.9,0
6000.0,8.18,95000.0,26.35,680.0,78.1,0
14300.0,13.99,50000.0,12.27,695.0,21.8,0
30000.0,13.18,100000.0,15.3,705.0,45.0,0
8325.0,14.09,25000.0,32.4,665.0,45.1,0
15625.0,14.16,125000.0,5.97,660.0,74.2,1
12000.0,13.33,60000.0,11.75,680.0,22.5,0
2400.0,11.44,80000.0,18.29,685.0,51.1,0
15000.0,19.99,75000.0,13.86,675.0,58.0,0
28500.0,7.69,240000.0,14.38,705.0,52.6,0
28000.0,15.05,76000.0,43.81,715.0,81.3,0
15000.0,10.99,80000.0,4.01,690.0,34.1,0
6000.0,7.34,48000.0,27.9,815.0,3.8,0
8000.0,6.24,52000.0,20.57,700.0,48.9,0
15900.0,8.9,80000.0,22.95,685.0,65.1,0
20000.0,11.67,53000.0,29.19,680.0,81.9,0
4000.0,15.31,34000.0,29.76,740.0,16.3,1
21625.0,14.08,120000.0,34.91,740.0,64.7,0
12000.0,12.99,55000.0,11.17,660.0,39.8,0
25000.0,15.61,60000.0,21.94,715.0,45.4,0
17000.0,14.16,66000.0,17.89,700.0,49.5,0
12000.0,14.98,65000.0,10.45,670.0,86.9,0
20000.0,10.49,130000.0,5.82,660.0,86.0,0
10000.0,10.99,64000.0,12.34,700.0,43.2,0
6000.0,13.35,38920.0,4.47,685.0,61.3,0
16925.0,13.18,56406.0,27.05,705.0,37.0,0
6000.0,9.99,40000.0,11.85,670.0,50.9,0
20000.0,6.54,219996.0,9.23,760.0,57.4,0
12000.0,19.99,78000.0,34.86,685.0,83.4,1
11200.0,11.99,39000.0,17.08,665.0,69.5,0
7000.0,9.17,56000.0,8.83,675.0,69.7,0
15000.0,10.99,50000.0,26.96,695.0,58.6,1
30000.0,18.75,72000.0,24.93,665.0,77.5,0
5700.0,8.18,38000.0,16.05,670.0,47.8,0
10000.0,9.17,75000.0,6.52,665.0,62.5,0
40000.0,9.49,125000.0,28.51,760.0,49.8,0
7000.0,6.24,22000.0,12.11,805.0,5.9,0
7000.0,9.99,90000.0,22.33,660.0,89.0,0
12000.0,12.35,72000.0,28.66,720.0,63.0,0
3600.0,11.44,45000.0,15.47,680.0,47.1,0
24000.0,11.99,68000.0,26.09,665.0,38.7,1
24500.0,15.61,90000.0,20.49,695.0,65.4,0
15950.0,25.69,49920.0,28.03,680.0,84.0,1
10000.0,12.61,80000.0,25.95,715.0,15.4,0
11875.0,15.8,75000.0,5.25,690.0,83.5,0
13300.0,14.65,38000.0,16.08,685.0,76.1,0
9000.0,11.99,39200.0,7.07,700.0,26.4,0
10000.0,9.16,160000.0,13.88,660.0,98.0,1
14000.0,10.16,70000.0,9.34,710.0,47.1,0
24000.0,23.63,70000.0,7.29,660.0,75.7,0
12000.0,13.49,45000.0,21.97,700.0,57.4,0
5000.0,13.49,98000.0,34.85,680.0,89.7,1
12000.0,6.89,209000.0,15.96,695.0,94.3,0
16250.0,6.03,95600.0,11.57,810.0,3.9,0
3000.0,15.99,70000.0,10.13,660.0,61.1,0
10000.0,19.05,86600.0,20.77,680.0,91.7,0
5000.0,6.99,77000.0,20.03,835.0,1.2,0
4800.0,15.41,37812.0,5.57,660.0,30.0,1
10500.0,9.67,65000.0,14.48,755.0,0.0,1
7000.0,18.55,40000.0,23.76,680.0,48.8,0
9525.0,7.89,80000.0,17.79,695.0,81.2,0
35000.0,19.03,55000.0,20.77,720.0,39.4,1
12600.0,19.03,37209.6,12.67,670.0,77.2,0
10000.0,13.65,160000.0,7.81,695.0,70.5,0
35000.0,11.99,127092.0,34.97,685.0,58.0,0
7075.0,18.25,50037.0,44.57,705.0,61.9,0
24000.0,16.59,240000.0,8.98,685.0,10.1,0
19675.0,16.99,41000.0,27.17,710.0,36.2,0
5500.0,7.46,84000.0,8.3,780.0,5.0,0
7350.0,15.61,24000.0,14.7,705.0,36.5,0
8500.0,10.16,105000.0,9.5,675.0,37.3,0
24000.0,10.75,68504.4,31.38,685.0,58.8,0
16000.0,8.99,60000.0,14.94,675.0,58.1,0
25000.0,24.85,100400.0,20.87,670.0,58.7,1
10000.0,8.19,66000.0,13.27,660.0,71.7,0
25000.0,14.3,67000.0,23.88,710.0,66.1,0
30000.0,13.33,89862.0,5.19,680.0,77.8,0
5000.0,12.88,60000.0,13.6,680.0,10.3,0
4500.0,14.52,37000.0,4.44,660.0,26.8,0
18000.0,10.75,60000.0,11.07,705.0,32.2,0
21000.0,6.89,54000.0,23.78,715.0,45.6,0
12050.0,13.35,60700.0,7.57,660.0,40.6,0
18000.0,12.79,96500.0,20.52,670.0,52.5,0
35000.0,9.92,62000.0,27.26,775.0,26.6,0
2500.0,11.86,18720.0,9.49,700.0,90.5,0
12800.0,6.89,51000.0,16.31,695.0,39.4,0
18775.0,7.9,70000.0,30.07,725.0,62.7,0
13000.0,18.94,90000.0,7.73,715.0,17.6,0
16000.0,21.85,85000.0,22.0,675.0,74.1,0
1200.0,11.99,35000.0,29.79,750.0,15.3,0
18000.0,11.47,75000.0,25.86,660.0,49.0,0
10000.0,10.99,98020.0,9.72,710.0,56.8,0
17000.0,6.99,70000.0,12.15,765.0,25.1,0
10000.0,20.5,65000.0,8.99,665.0,59.3,0
10000.0,11.14,61000.0,9.8,700.0,44.6,0
25000.0,7.89,50000.0,14.45,745.0,29.1,0
28000.0,20.89,80000.0,18.77,680.0,90.5,0
34275.0,15.59,89000.0,9.78,690.0,10.5,0
19000.0,19.99,63847.52,12.2,670.0,84.0,0
18000.0,9.44,98000.0,14.89,735.0,20.8,0
8400.0,18.99,40000.0,27.48,680.0,39.2,0
25000.0,20.03,86100.0,12.36,670.0,61.4,1
9000.0,13.67,48192.0,20.72,665.0,88.6,0
35000.0,13.99,135000.0,13.71,690.0,36.9,0
21275.0,13.99,52000.0,14.15,700.0,45.0,1
5875.0,18.99,16320.0,24.85,710.0,38.5,0
6000.0,13.99,44000.0,21.9,700.0,23.8,0
28000.0,15.59,192000.0,10.71,700.0,51.0,0
32400.0,12.99,105000.0,26.47,670.0,73.1,0
14000.0,16.99,50000.0,38.89,660.0,79.5,1
4000.0,10.99,52000.0,11.91,695.0,98.0,1
8800.0,11.49,95000.0,8.41,715.0,33.0,0
10000.0,12.99,40000.0,25.9,675.0,35.6,0
5500.0,12.69,36000.0,4.23,690.0,55.1,0
35000.0,8.24,190000.0,18.64,675.0,68.8,0
24000.0,10.99,70000.0,25.26,705.0,52.8,0
4650.0,14.33,50000.0,3.5,670.0,51.7,0
2000.0,14.65,40000.0,29.1,695.0,93.5,1
4000.0,14.31,67000.0,4.84,665.0,92.1,0
12000.0,17.27,45000.0,18.43,660.0,65.2,0
6000.0,17.99,40000.0,17.34,670.0,25.5,0
7300.0,12.62,45000.0,4.53,665.0,32.8,0
6000.0,8.9,48000.0,18.45,700.0,84.1,0
7000.0,9.99,104001.0,23.22,705.0,38.7,0
18000.0,7.49,83000.0,7.93,700.0,24.1,0
18000.0,16.01,30000.0,26.16,680.0,70.0,1
22000.0,13.99,45000.0,28.67,670.0,54.3,0
12800.0,13.99,105000.0,12.77,705.0,74.8,1
2000.0,10.91,57312.0,15.43,705.0,25.0,0
10000.0,12.39,44000.0,30.63,705.0,56.8,1
14000.0,10.74,70000.0,9.19,715.0,33.9,0
18000.0,15.59,70000.0,29.93,700.0,44.8,0
13000.0,7.89,86000.0,23.41,700.0,47.1,0
23500.0,23.32,47000.0,43.08,680.0,73.8,0
16950.0,25.69,53000.0,9.49,660.0,48.3,1
15000.0,7.9,135000.0,17.13,705.0,63.0,0
18000.0,8.49,100000.0,17.87,705.0,69.2,1
6400.0,16.99,22000.0,25.7,670.0,69.1,1
8000.0,10.36,38000.0,20.18,685.0,49.9,1
20000.0,8.39,60000.0,31.36,700.0,35.5,0
15600.0,9.8,100000.0,16.07,740.0,59.3,0
7200.0,11.44,35000.0,12.04,675.0,91.0,0
9000.0,12.13,33000.0,27.2,675.0,40.1,0
9000.0,10.99,89000.0,23.35,695.0,78.7,0
7200.0,19.03,60000.0,13.82,710.0,28.3,0
21600.0,6.97,84000.0,12.67,805.0,2.9,0
22500.0,18.75,190000.0,26.37,715.0,88.4,0
16000.0,11.49,115000.0,4.27,685.0,52.1,1
20000.0,6.17,117000.0,10.53,780.0,17.5,0
20000.0,8.18,52000.0,18.28,675.0,77.0,0
20000.0,5.32,179000.0,5.57,740.0,54.0,0
10000.0,16.99,91200.0,15.16,690.0,78.7,0
5000.0,12.62,30000.0,15.72,700.0,96.1,0
10500.0,6.99,69000.0,12.35,680.0,20.5,0
8000.0,13.99,60000.0,30.88,695.0,62.0,1
15000.0,21.45,140000.0,13.42,675.0,82.0,1
33425.0,14.16,88000.0,6.75,685.0,54.2,0
2300.0,10.99,71000.0,12.07,735.0,35.9,0
10800.0,16.02,142000.0,16.45,680.0,73.9,0
3600.0,23.13,56000.0,37.12,660.0,88.4,0
11000.0,17.27,65000.0,18.26,660.0,39.0,0
10000.0,10.75,73000.0,34.41,705.0,42.0,0
18000.0,10.99,86320.0,13.35,665.0,46.1,1
18500.0,7.39,130000.0,27.23,715.0,53.4,0
17000.0,6.24,52000.0,17.29,730.0,64.1,0
25000.0,5.32,76000.0,20.43,740.0,55.5,0
25000.0,11.44,78000.0,34.69,730.0,44.5,1
6000.0,12.74,38000.0,19.61,665.0,42.1,0
8875.0,10.16,34000.0,27.28,740.0,25.9,0
14000.0,9.75,55000.0,34.08,710.0,32.4,0
10350.0,15.99,36000.0,11.8,675.0,68.0,0
28000.0,7.26,210000.0,13.61,730.0,75.0,0
25700.0,22.74,65000.0,26.48,715.0,58.5,0
7000.0,6.99,40000.0,16.86,690.0,29.3,1
15000.0,8.59,64000.0,13.46,735.0,79.9,1
24850.0,6.03,170000.0,15.41,835.0,2.1,0
21000.0,11.99,65000.0,16.71,690.0,13.7,0
24000.0,5.32,144000.0,12.94,740.0,23.8,0
7575.0,16.59,40000.0,17.13,675.0,45.0,1
21600.0,12.85,72000.0,33.17,710.0,67.1,0
16000.0,15.22,89600.0,11.45,670.0,53.1,0
22000.0,10.99,77000.0,19.95,670.0,63.6,0
25000.0,6.24,164000.0,22.15,735.0,59.7,0
18000.0,9.17,120000.0,25.41,665.0,86.6,0
8000.0,12.29,85000.0,20.06,665.0,75.0,0
10000.0,13.33,39000.0,23.51,675.0,21.0,0
12000.0,10.49,57000.0,20.2,705.0,73.3,0
3000.0,12.69,20500.0,25.53,720.0,43.5,0
7500.0,11.99,25000.0,32.99,800.0,11.4,0
21750.0,20.99,68000.0,24.5,660.0,45.4,1
12000.0,8.18,124000.0,21.33,730.0,9.0,0
28500.0,17.57,65000.0,26.27,690.0,73.6,1
7500.0,15.61,42000.0,32.2,675.0,50.0,0
9600.0,14.65,51000.0,38.99,660.0,53.8,0
3125.0,20.75,25000.0,10.27,685.0,29.0,0
11075.0,12.85,33000.0,14.77,690.0,95.0,1
7000.0,12.49,54600.0,26.84,675.0,68.1,0
30000.0,12.69,300000.0,12.94,705.0,96.3,0
35000.0,12.79,105000.0,6.21,710.0,53.2,1
8000.0,10.78,120000.0,10.97,660.0,66.2,0
6000.0,9.16,31500.0,12.34,735.0,4.0,0
15200.0,17.97,132000.0,10.83,665.0,58.0,0
18650.0,9.75,95000.0,13.58,695.0,17.0,0
21000.0,14.33,43800.0,31.78,695.0,96.1,1
12000.0,11.55,67000.0,18.72,720.0,96.0,0
15000.0,13.33,65000.0,28.47,675.0,90.5,0
9575.0,14.99,45000.0,22.43,660.0,78.0,0
11500.0,15.61,45000.0,19.47,665.0,79.7,0
30000.0,12.74,96045.0,30.25,665.0,62.7,0
20000.0,12.29,95000.0,15.21,665.0,65.2,0
6400.0,7.99,62000.0,18.26,700.0,25.6,0
12000.0,8.19,69000.0,19.63,705.0,59.7,0
7000.0,12.49,33000.0,26.62,685.0,54.5,0
21225.0,13.49,138000.0,25.32,705.0,47.0,0
11400.0,13.68,40000.0,16.32,670.0,53.1,0
30625.0,14.49,300000.0,6.49,725.0,8.6,0
7300.0,9.17,44500.0,24.14,695.0,81.1,0
31500.0,19.99,97464.0,35.35,705.0,53.3,0
8000.0,25.49,100500.0,15.82,660.0,59.7,1
35000.0,18.25,140000.0,6.04,675.0,82.5,0
35000.0,13.49,82626.0,18.26,740.0,47.2,0
40000.0,7.97,190000.0,7.27,795.0,33.2,0
10600.0,8.59,112412.0,26.98,730.0,47.4,0
12000.0,9.76,58000.0,26.18,705.0,46.8,0
28000.0,10.49,235000.0,10.29,735.0,69.9,0
12000.0,17.56,95000.0,21.25,680.0,88.5,0
10000.0,11.99,46000.0,32.22,665.0,21.7,0
1925.0,19.19,22000.0,30.88,685.0,67.4,1
28000.0,26.3,75000.0,30.64,660.0,81.9,0
19500.0,7.26,72000.0,26.68,700.0,48.1,0
20000.0,9.75,50000.0,13.66,660.0,70.0,0
10000.0,7.89,65000.0,3.69,765.0,18.4,0
5000.0,15.99,71000.0,28.48,695.0,27.7,0
2750.0,14.65,91000.0,19.4,660.0,68.0,1
7500.0,7.69,66000.0,8.77,670.0,53.7,0
12000.0,10.0,110004.0,10.2,745.0,46.9,0
9000.0,7.69,46000.0,13.67,765.0,5.9,0
3000.0,14.08,106000.0,7.79,670.0,64.4,1
6875.0,16.29,52000.0,35.66,675.0,81.9,0
28000.0,20.2,150000.0,7.06,710.0,15.4,0
9600.0,15.61,81000.0,31.59,680.0,48.2,1
10950.0,17.27,41100.0,22.59,680.0,51.6,0
7000.0,11.47,45000.0,16.72,770.0,0.0,0
30000.0,19.72,90000.0,20.35,680.0,83.1,0
5500.0,14.99,85000.0,12.93,680.0,13.6,0
10000.0,14.46,50000.0,17.95,690.0,65.8,1
12000.0,14.99,143000.0,9.25,665.0,78.0,0
20000.0,13.99,66000.0,30.01,685.0,68.8,1
11000.0,6.68,60000.0,16.2,710.0,55.2,0
1000.0,12.69,135000.0,27.1,700.0,38.2,0
8000.0,15.31,21500.0,20.94,680.0,45.3,1
4000.0,12.87,26000.0,23.22,675.0,80.1,1
12700.0,17.76,54585.0,5.21,680.0,32.2,1
6000.0,8.49,71000.0,18.35,710.0,60.3,0
13400.0,19.52,42408.0,21.05,665.0,67.1,1
8000.0,11.99,60000.0,3.62,660.0,23.0,0
18000.0,7.69,95000.0,16.41,700.0,48.8,0
10000.0,10.41,60000.0,9.98,665.0,66.9,0
35000.0,12.88,95000.0,7.19,700.0,33.6,0
9600.0,13.66,40000.0,8.52,665.0,48.8,1
4000.0,7.35,60000.0,24.62,700.0,38.8,0
10000.0,7.69,75000.0,21.54,720.0,39.0,0
11500.0,16.29,35000.0,26.99,675.0,52.0,0
30000.0,18.06,120000.0,18.9,700.0,30.4,1
35000.0,11.99,85000.0,13.53,680.0,85.8,0
24000.0,12.39,167509.0,32.64,710.0,58.0,0
6400.0,7.9,44691.0,23.84,710.0,45.8,0
7000.0,10.75,13740.0,10.66,755.0,29.2,1
16000.0,15.1,67000.0,24.07,675.0,54.8,0
3500.0,15.61,62500.0,31.04,700.0,79.3,0
7875.0,15.61,18000.0,21.07,685.0,44.0,1
7000.0,11.49,38000.0,16.24,660.0,50.6,0
6000.0,8.19,67000.0,29.45,700.0,43.2,0
3500.0,11.99,54000.0,6.8,715.0,16.3,0
21700.0,6.03,71000.0,28.01,785.0,34.2,0
10000.0,16.99,135752.0,18.81,685.0,97.3,0
1000.0,10.91,70000.0,16.01,660.0,52.0,1
10000.0,7.62,30000.0,21.72,700.0,53.0,0
20800.0,22.4,72000.0,30.08,680.0,38.9,1
16000.0,7.89,110000.0,5.77,675.0,44.1,0
8000.0,17.27,120000.0,5.69,670.0,99.2,0
12000.0,13.99,55000.0,20.82,660.0,70.4,0
7175.0,13.49,65000.0,3.4,665.0,82.5,0
15000.0,16.91,63440.0,9.0,680.0,29.3,0
18250.0,16.07,70160.0,21.65,680.0,57.7,1
13075.0,15.99,57000.0,28.86,665.0,72.0,1
11000.0,11.53,78000.0,23.95,670.0,69.9,0
2000.0,16.02,68854.0,3.72,670.0,16.5,1
25000.0,7.89,70000.0,24.79,690.0,53.5,0
7500.0,9.99,71000.0,11.21,710.0,83.4,0
20000.0,7.88,250000.0,0.69,790.0,16.2,0
19500.0,18.25,39000.0,28.8,680.0,62.5,0
26000.0,8.19,100000.0,9.49,725.0,27.5,0
24000.0,16.29,105000.0,18.33,665.0,97.7,0
8000.0,11.99,64000.0,12.3,670.0,25.5,0
30000.0,12.29,185000.0,9.06,720.0,90.7,0
10400.0,18.25,42000.0,39.6,680.0,73.6,1
35000.0,18.55,154000.0,16.44,720.0,76.0,0
16000.0,13.05,93000.0,23.65,700.0,98.8,0
16800.0,15.59,92000.0,11.56,670.0,58.5,0
10000.0,12.74,65351.0,14.23,675.0,75.8,0
7000.0,13.33,26000.0,19.48,660.0,79.1,1
15000.0,9.49,80000.0,21.87,670.0,73.0,0
10000.0,12.99,75000.0,5.39,675.0,53.3,0
5425.0,13.99,31000.0,15.91,665.0,28.2,0
10000.0,12.99,75000.0,28.23,660.0,57.5,0
14000.0,15.8,90000.0,8.75,680.0,85.3,0
12000.0,13.68,80000.0,13.74,715.0,25.6,0
5000.0,20.0,30000.0,5.16,675.0,92.3,0
8000.0,7.49,82000.0,22.17,695.0,66.9,0
7750.0,8.9,55000.0,17.7,750.0,9.3,0
13000.0,17.99,72000.0,29.02,670.0,72.7,1
6400.0,13.59,30000.0,16.16,670.0,63.2,1
30000.0,7.99,130000.0,11.04,700.0,42.1,0
24550.0,17.86,70000.0,18.02,690.0,92.9,0
35000.0,12.99,89000.0,30.38,715.0,60.5,0
35000.0,11.49,160000.0,20.42,685.0,82.7,0
15550.0,7.9,50000.0,10.51,725.0,30.6,0
14600.0,21.36,61200.0,8.33,670.0,94.3,0
